"Date","Price","Open","High","Low","Change %"
"02/09/2016","0.61","0.61","0.66","0.59","1.67%"
"02/08/2016","0.60","0.62","0.68","0.58","-3.23%"
"02/05/2016","0.62","0.63","0.66","0.60","0.00%"
"02/04/2016","0.62","0.62","0.65","0.61","1.64%"
"02/03/2016","0.61","0.64","0.66","0.60","-6.15%"
"02/02/2016","0.65","0.64","0.66","0.63","-4.41%"
"02/01/2016","0.68","0.66","0.75","0.64","0.00%"
"01/29/2016","0.68","0.70","0.70","0.66","-5.56%"
"01/28/2016","0.72","0.73","0.76","0.70","-4.00%"
"01/27/2016","0.75","0.73","0.77","0.72","1.35%"
